evaluation	view	fold_id	model	family	train_n	test_n	parameters_json	centring_means_sha256
absolute	S1	component-G3-FINAL-001	global_mean	mean	625	36	"{""mean"": 6.443819172506864}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	target_training_mean	target_mean	625	36	"{""fallback_global_mean"": 6.443819172506864}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	ecfp_ridge	ridge	625	36	"{""alpha"": 100.0, ""dimensions"": 2048, ""inner_RMSE"": {""0.1"": 2.412197957100532, ""1.0"": 2.3429016901106827, ""10.0"": 2.211236666675613, ""100.0"": 2.049137641041597}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	esm2_sequence_ridge	ridge	625	36	"{""alpha"": 100.0, ""dimensions"": 640, ""inner_RMSE"": {""0.1"": 1.8294422935228396, ""1.0"": 1.8294397174197468, ""10.0"": 1.8294135632014974, ""100.0"": 1.8291914777342217}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	ecfp_esm2_additive_no_pocket	additive	625	36	"{""alpha"": 100.0, ""dimensions"": 2688, ""inner_RMSE"": {""0.1"": 2.320730377817512, ""1.0"": 2.207125927861651, ""10.0"": 2.027335883974399, ""100.0"": 1.889354646611713}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	ecfp_knn	knn	625	36	"{""inner_RMSE"": {""1"": 2.308165662787493, ""3"": 2.0589967208928703, ""5"": 2.0273363762895533, ""10"": 1.961235464421541}, ""k"": 10}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	esm2_sequence_knn	knn	625	36	"{""inner_RMSE"": {""1"": 2.1150815259081974, ""3"": 1.8105246765212972, ""5"": 1.8258086660014012, ""10"": 1.7972314467665604}, ""k"": 10}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	global_structure_knn	knn	625	36	"{""inner_RMSE"": {""1"": 2.421472731841857, ""3"": 2.050198002267776, ""5"": 1.9084817531009715, ""10"": 1.7429705463060479}, ""k"": 10}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	pocket_structure_knn	knn	625	36	"{""inner_RMSE"": {""1"": 2.3062700161886505, ""3"": 1.9013166703772377, ""5"": 1.809231493783696, ""10"": 1.7672903304489764}, ""k"": 10}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	descriptor_only	ridge	625	36	"{""alpha"": 100.0, ""dimensions"": 116, ""inner_RMSE"": {""0.1"": 2.210094187328999, ""1.0"": 2.207537868680674, ""10.0"": 2.1857276453983205, ""100.0"": 2.099982462137649}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	descriptor_knn	knn	625	36	"{""inner_RMSE"": {""1"": 2.3622300069357274, ""3"": 2.053331439180424, ""5"": 1.9818732855154135, ""10"": 1.8367415316690494}, ""k"": 10}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	ecfp_descriptor_additive_full	additive	625	36	"{""alpha"": 100.0, ""dimensions"": 2164, ""inner_RMSE"": {""0.1"": 2.4911738538016475, ""1.0"": 2.4213759272579267, ""10.0"": 2.2887677433548417, ""100.0"": 2.1221601133315793}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	ecfp_esm2_descriptor_additive_full	additive	625	36	"{""alpha"": 100.0, ""dimensions"": 2804, ""inner_RMSE"": {""0.1"": 2.358613144800999, ""1.0"": 2.2453416411749627, ""10.0"": 2.0596190768809572, ""100.0"": 1.9074608732298028}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	ecfp_esm2_descriptor_additive_matched	additive	625	36	"{""alpha"": 100.0, ""dimensions"": 96, ""inner_RMSE"": {""0.1"": 3.3653644771190487, ""1.0"": 2.8626039875793756, ""10.0"": 2.4137816299316355, ""100.0"": 2.1898544865125484}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	ecfp_esm2_descriptor_bilinear	bilinear	625	36	"{""alpha"": 100.0, ""dimensions"": 1120, ""inner_RMSE"": {""0.1"": 3.7774407525837326, ""1.0"": 3.083693754757187, ""10.0"": 2.4110687375942765, ""100.0"": 2.1539433572932047}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
absolute	S1	component-G3-FINAL-001	ecfp_esm2_descriptor_bilinear_permuted	bilinear	625	36	"{""alpha"": 100.0, ""dimensions"": 1120, ""inner_RMSE"": {""0.1"": 3.9138692585355686, ""1.0"": 3.1507022967722973, ""10.0"": 2.533714580582064, ""100.0"": 2.2227440784606998}}"	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
